Record Date,Record Type,Location,Property Type,Price,Price/sqft,Built-up Area,Plot Area,Beds,Has Maid Room,Has Study Room,Floor Level,Views,Has Balcony,Developer,Comments,URL
2023-03-05,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,921400.0,807,1142,0,1 Bed,False,False,1,,True,Azizi Developments,Unit-105,nan
2023-03-05,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,718740.0,833,863,0,1 Bed,False,False,8,,True,Azizi Developments,Unit-805,nan
2023-03-05,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,1958250.0,894,2191,0,2 Bed,False,False,12,,True,Azizi Developments,Unit-1207,nan
2023-02-05,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,836160.0,865,967,0,1 Bed,False,False,1,,True,Azizi Developments,"Hotel Apartment, Unit-110",nan
2023-02-05,Secondary Transaction,"Candace Acacia, Azizi Residence, Al Furjan",Apartment,415000.0,1021,406,0,Studio,False,False,9,,True,Azizi Developments,"Hotel Apartment, Unit-931",nan
2023-02-05,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1457942.0,1193,1222,0,2 Bed,False,False,,,False,,,nan
2023-01-05,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,900000.0,1092,824,0,1 Bed,False,False,3,,True,Danube,Unit-319,nan
2023-01-05,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,799200.0,906,882,0,1 Bed,False,False,3,,True,Azizi Developments,Unit-320,nan
2023-01-05,Secondary Transaction,"Orchid, Azizi Residence, Al Furjan",Apartment,1200000.0,916,1310,0,2 Bed,False,False,3,,True,Azizi Developments,Unit-305,nan
2023-01-05,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,795200.0,885,898,0,1 Bed,False,False,8,,True,Azizi Developments,Unit-808,nan
2023-01-05,Secondary Transaction,"Starz by Danube, Al Furjan",Apartment,390000.0,949,411,0,Studio,False,False,5,,True,Danube Properties,Unit-507,nan
2023-01-05,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,793344.0,858,925,0,2 Bed,False,False,3,,True,Azizi Developments,"Hotel Apartment, Unit-327",nan
2023-04-28,Secondary Transaction,"Glamz by Danube, Glamz, Al Furjan",Apartment,665000.0,865,769,0,1 Bed,False,False,7,,True,Danube Properties,Unit-711,nan
2023-04-28,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,415110.0,1045,397,0,Studio,False,False,4,,True,Azizi Developments,"Hotel Apartment, Unit-408",nan
2023-04-27,Secondary Transaction,"Feirouz, Azizi Residence, Al Furjan",Apartment,1150000.0,856,1344,0,2 Bed,False,False,7,,True,Azizi Developments,Unit-701,nan
