Transaction Type,Subtype,Sales Sequence,No,Date,Community,Property,Property Type,Unit,Bedrooms,Floor,Parking,Balcony Area,Size (Sqf),Land Size,Amount (AED),AED/Sqf,Developer
Sales - Ready,Sale,Primary,11-8133-2022,18-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6204,1 B/R,62,B1-375,81.05,696.65,,2670000.0,3832.65,Al Ain Properties
Sales - Ready,Sale,Primary,11-8178-2022,18-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6602,2 B/R,66,B1-134,286.11,1798.88,,5210000.0,2896.25,Al Ain Properties
Sales - Ready,Sale,Primary,11-8154-2022,18-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6702,2 B/R,67,B1-334,286.11,1798.88,,5245000.0,2915.7,Al Ain Properties
Sales - Ready,Sale,Primary,11-8248-2022,18-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6804,2 B/R,68,B1-313,72.01,1464.55,,5240000.0,3577.89,Al Ain Properties
Sales - Ready,Sale,Primary,11-8169-2022,18-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6906,1 B/R,69,B1-146,81.81,696.75,,2457000.0,3526.35,Al Ain Properties
Sales - Ready,Sale,Primary,11-8126-2022,17-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,2701,1 B/R,27,B2-398,59.63,740.67,,2522900.0,3406.24,Al Ain Properties
Sales - Ready,Sale,Primary,11-8125-2022,17-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,2703,1 B/R,27,B2-344,74.59,809.24,,2796000.0,3455.1,Al Ain Properties
Sales - Ready,Sale,Primary,11-7915-2022,14-04-2022,Dubai Marina,Opal Marina Tower,Apartment,1402,2 B/R,14,B2-68,234.98,1546.14,,1340000.0,866.67,Mismak Properties
Sales - Ready,Sale,Primary,11-7917-2022,14-04-2022,Dubai Marina,Opal Marina Tower,Apartment,2005,2 B/R,20,B3-30,234.98,1536.35,,1242182.0,808.53,Mismak Properties
Sales - Ready,Sale,Primary,11-7901-2022,14-04-2022,Dubai Marina,Opal Marina Tower,Apartment,2106,1 B/R,21,B3-37,162.0,1064.13,,946600.0,889.55,Mismak Properties
Sales - Ready,Sale,Primary,11-8017-2022,14-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6903,2 B/R,69,B1-121,286.43,1789.62,,5545000.0,3098.42,Al Ain Properties
Sales - Ready,Sale,Primary,11-8018-2022,14-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6904,2 B/R,69,B1-122,72.01,1464.55,,4482000.0,3060.33,Al Ain Properties
Sales - Ready,Sale,Primary,11-7898-2022,13-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6803,2 B/R,68,B1-124,286.43,1789.62,,5400000.0,3017.4,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-6468-2022,11-04-2022,Dubai Marina,Damac Heights,Apartment,7501,3 B/R,75,"P1-09 , P2-33",69.0,2194.35,,3379000.0,1539.86,Damac Properties
Sales - Ready,Sale,Primary,11-7592-2022,11-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,2601,1 B/R,26,B2-402,59.63,740.67,,2519500.0,3401.65,Al Ain Properties
Sales - Ready,Sale,Primary,11-7615-2022,11-04-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4901,1 B/R,49,B2-249,60.28,737.44,,2893500.0,3923.7,Al Ain Properties
